,id_x,object_id_x,degree_type,subject,institution,graduated_at,object_id_numeric,id_y,funding_round_id,object_id_y,funded_at,funding_round_type,funding_round_code,raised_amount_usd,pre_money_valuation_usd,post_money_valuation_usd,participants,is_first_round,is_last_round
2835,12200,p:45632,,Business,Chapman University,2006-01-01,45632,14118,14118,c:45632,2007-01-01,venture,unattributed,3010000.0,0.0,0.0,2,1,0
2836,12200,p:45632,,Business,Chapman University,2006-01-01,45632,14595,14595,c:45632,2006-01-26,series-a,a,4280000.0,0.0,0.0,1,0,1
2837,12239,p:87528,BS,Media Arts,Emerson College,1999-01-01,87528,25083,25083,c:87528,2011-08-30,venture,unattributed,1136175.0,0.0,0.0,1,1,1
2838,12336,p:43469,BS,"Electrical Engineering, Economics",UCSD,2004-01-01,43469,12833,12833,c:43469,2007-06-18,series-b,b,8000000.0,0.0,0.0,3,1,1
2839,12337,p:43469,MS,Electrical Engineering - Multimedia and Creative Technologies,USC,2008-01-01,43469,12833,12833,c:43469,2007-06-18,series-b,b,8000000.0,0.0,0.0,3,1,1
2840,12398,p:20057,BA,,Wesleyan University,2005-01-01,20057,5302,5302,c:20057,2008-11-24,series-a,seed,5000000.0,0.0,0.0,1,1,1
2841,12399,p:20057,JD,,NYU School of Law,2011-01-01,20057,5302,5302,c:20057,2008-11-24,series-a,seed,5000000.0,0.0,0.0,1,1,1
2842,12405,p:88175,BCOM,Marketing,Ryerson University,2009-01-01,88175,25095,25095,c:88175,2009-01-01,angel,angel,0.0,0.0,0.0,1,1,1
2843,12406,p:66296,BA,Computer Science,Harvard University,2007-01-01,66296,25879,25879,c:66296,2012-01-27,venture,unattributed,1200000.0,0.0,0.0,8,1,0
2844,12406,p:66296,BA,Computer Science,Harvard University,2007-01-01,66296,52931,52931,c:66296,2011-03-01,angel,seed,0.0,0.0,0.0,1,0,1
2845,12418,p:76043,BA,English,"University of California, Los Angeles (UCLA)",2000-01-01,76043,29449,29449,c:76043,2011-09-16,angel,seed,20000.0,0.0,0.0,1,0,1
2846,12418,p:76043,BA,English,"University of California, Los Angeles (UCLA)",2000-01-01,76043,31421,31421,c:76043,2012-03-22,angel,seed,100000.0,0.0,0.0,2,1,0
2847,12431,p:72284,ESL course,English Language,University of San Diego,2008-01-01,72284,52525,52525,c:72284,2013-10-23,angel,seed,125000.0,0.0,0.0,0,1,1
2848,12462,p:46034,MS,Computer Science,Helsinki University of Technology,1993-01-01,46034,14396,14396,c:46034,2006-03-30,venture,unattributed,6110000.0,0.0,0.0,1,1,1
2849,12500,p:79973,PhD,Computer Science,"University of California, Los Angeles (UCLA)",2007-01-01,79973,23753,23753,c:79973,2009-02-11,series-b,b,0.0,0.0,0.0,1,0,1
2850,12500,p:79973,PhD,Computer Science,"University of California, Los Angeles (UCLA)",2007-01-01,79973,23754,23754,c:79973,2010-02-25,series-b,b,0.0,0.0,0.0,1,0,0
2851,12500,p:79973,PhD,Computer Science,"University of California, Los Angeles (UCLA)",2007-01-01,79973,23755,23755,c:79973,2011-02-03,series-b,b,0.0,0.0,0.0,1,0,0
