,id,name,normalized_name,category_code,status,founded_at,country_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships
179479,c:68154,Bandwdth Publishing,bandwdth publishing,games_video,operating,2010-04-01,USA,Sonoma,Sonoma,,,0,0,2011-04-22,2011-05-06,2,853078.0,2010-04-01,2010-04-01,1,2
179482,c:68157,Appstores.com,appstores,software,acquired,2010-05-24,USA,San Francisco,SF Bay,,,0,0,2010-08-01,2011-08-01,2,1155000.0,2011-10-01,2012-01-19,2,6
179485,c:6816,GeoMe,geome,mobile,operating,2007-01-01,ESP,Barcelona,Barcelona,,,0,0,2008-10-15,2008-10-15,1,408750.0,2008-02-01,2009-03-31,2,3
179490,c:68164,CloudPassage,cloudpassage,security,operating,2009-01-01,USA,San Francisco,SF Bay,,,0,0,2011-04-27,2013-02-25,3,20500000.0,2012-12-17,2013-10-22,3,13
179492,c:68166,Impact Solutions Consulting,impact solutions consulting,consulting,operating,,USA,Kennesaw,Atlanta,,,0,0,2011-02-07,2011-02-07,1,4500000.0,,,0,1
179493,c:68168,ShuttleCloud,shuttlecloud,enterprise,operating,2010-05-01,ESP,Madrid,Madrid,,,0,0,2011-01-01,2012-11-01,3,1048000.0,2011-08-02,2011-08-02,1,1
179494,c:68169,NexGen Storage,nexgen storage,software,acquired,2010-01-01,USA,Louisville,Denver,,,0,0,2011-02-07,2011-11-15,2,12010000.0,2012-08-24,2012-09-11,2,14
179496,c:68172,SmartDocs (Teknowmics),smartdocs teknowmics,software,operating,2010-09-22,JPN,Tokyo,Tokyo,,,0,0,2010-11-01,2010-11-01,1,248812.0,2010-11-01,2010-11-01,1,1
179500,c:68176,PerMicro,permicro,finance,operating,,,,unknown,,,0,0,2011-02-07,2011-02-07,1,5421200.0,,,0,0
179513,c:68189,ImageSpike,imagespike,advertising,operating,2010-01-01,,,unknown,,,0,0,2011-01-27,2011-01-27,1,150714.0,2011-02-01,2011-02-16,2,5
179514,c:68190,Varian Semiconductor Equipment Associates,varian semiconductor equipment associates,semiconductor,acquired,1999-01-01,USA,Gloucester,Boston,,,0,0,2011-02-07,2011-02-07,1,4800000.0,2011-05-04,2011-05-04,1,3
179519,c:68197,Presage Biosciences,presage biosciences,biotech,operating,2008-11-01,USA,Seattle,Seattle,,,0,0,2009-11-01,2013-03-13,4,13566295.0,2008-01-01,2008-01-01,1,2
179522,c:682,EyeJot,eyejot,web,operating,2007-01-01,USA,Seattle,Seattle,,,0,0,2007-01-01,2007-05-01,2,1150000.0,2007-12-03,2013-12-02,5,3
